28  
Consejería de Medio Ambiente Comunidad de Madrid.                               
Princesa,3 planta 9                                                             
28001 Madrid                                                                    
0271
28065012Getafe (nº 1)                                                         16
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
2808000382890205021700230V00039V00120V00335V00085V00039V00304V00152V00207V00296V00249V00191V00113V00062V00052V00063V00075V00136V00052V00282V00063V00080V00068V00069V
28080003818902050217001.4V001.6V001.8V001.4V001.1V001.7V000.9V001.3V001.9V001.9V001.8V002.1V003.6V003.7V005.2V005.2V003.6V002.3V003.9V001.8V002.8V003.5V003.0V002.0V
28080003838902050217001.0V000.9V001.4V002.1V000.3V000.1V000.9V001.2V002.6V006.4V008.7V008.2V010.2V010.9V011.0V010.8V010.1V008.3V006.7V004.9V004.7V003.8V002.7V002.3V
2808000386890205021700072V00071V00067V00067V00075V00072V00071V00071V00070V00052V00047V00041V00039V00037V00035V00035V00040V00042V00043V00054V00050V00053V00059V00062V
2808000387890205021700915V00915V00914V00914V00913V00914V00914V00915V00915V00916V00916V00915V00916V00915V00915V00915V00915V00916V00916V00917V00917V00917V00917V00917V
2808000388890205021700006V00006V00005V00006V00005V00006V00006V00052V00214V00377V00499V00551V00588V00535V00463V00327V00164V00023V00007V00007V00006V00006V00006V00006V
28080003898902050217000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2801300207080205021700002V00003V*****N00002V00003R00006V00013V00071V00027V00015V00004V00003V00002V00002V00002V00002V00002V00001V00001V00001V00002V00003V00002V00001V
2801300208080205021700028V00029V*****N00023V00019R00024V00025V00041V00028V00028V00008V00006V00006V00006V00006V00006V00009V00014V00017V00016V00014V00026V00012V00008V
2801300210490205021700014V00019V00015V00010V00007V00010V00011V00015V00049V00036V00045V00033V00030V00028V00018V00026V00028V00033V00042V00023V00020V00014V00034V00025V
2801300214060205021700041V00032V*****N00024V*****N00015V00011V00009V00024V00059V00089V00091V00096V00098V00102V00102V00096V00084V00074V00072V00070V00047V00060V00066V
2801300282890205021700102V00249V00159V00084V00047V00050V00197V00097V00073V00101V00023V00102V00178V00022V00255V00023V00022V00022V00101V00046V00056V00062V00050V00090V
28013002818902050217000.8V000.9V000.7V000.6V000.6V000.8V000.7V000.6V000.8V003.2V005.0V005.1V004.5V004.7V004.8V004.5V004.8V003.9V002.3V002.0V002.2V001.5V001.8V001.5V
28013002838902050217000.5V-00.3V-00.9V-02.7V-03.8V-04.6V-05.1V-04.1V-01.8V003.7V005.9V007.5V009.1V009.8V010.2V010.2V009.6V007.8V005.9V004.6V003.2V002.0V000.8V000.2V
2801300286890205021700058V00062V00065V00071V00074V00076V00080V00075V00067V00048V00041V00037V00031V00030V00030V00029V00030V00034V00039V00043V00048V00052V00052V00052V
2801300287890205021700947V00947V00946V00946V00945V00946V00946V00946V00947V00947V00947V00946V00945V00945V00944V00944V00944V00945V00946V00946V00946V00947V00948V00948V
2801300288890205021700004V00004V00004V00004V00004V00004V00004V00049V00231V00396V00533V00606V00624V00576V00475V00334V00162V00016V00004V00004V00004V00004V00004V00004V
28013002898902050217000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2812300114060205021700059V00044V00007V00002V00002V00002V00039V00065V00064V00067V00070V00075V00078V00079R00080V00079V00076V00067V00061V00056V00053V00054V00049V00043V
2802700114060205021700096V00094V00094V00094V00097V00098V00098V00097V00094V00093V00094V00098V00098V00100V00100V00100V00101V00099V00090V00093V00092R00096V00094V00091V
2806800114060205021700098V00092V00090V00092V00090V00098V00096V00098V00092V00090V00092V00090V00095V00099V00096R00098V00101V00094V00087V00087V00089V00084V00074V00048V
2813300114060205021700090V00087V00087V00087V00086V00083V00088V00090V00089V00090V00090V00090V00094V00096V00096V00095V00094V00091V00090V00089V00086V00087V00083V00081V
2806501201380205021800003V00003V00003V00003V00004V00009V00010V00010V00011V00012V00010V00007R00007V00008V00008V00014V00012V00008V00010V00013V00012V00005V00006V00004V
2806501207080205021800001V00003V00003V00010V00029V00114V00086V00069V00115V00124V00084V00042R00054V00055V00044V00057V00035V00038V00073V00100V00113V00011V00009V00008V
2806501208080205021800032V00039V00036V00049V00064V00097V00100V00094V00101V00104V00092V00067R00091V00100V00083V00110V00102V00103V00124V00136V00126V00065V00061V00054V
28065012064802050218000.5V000.4V000.4V000.5V000.6V001.4V001.2V001.0V001.1V001.0V000.9V000.8R000.8V000.8V000.8V001.0V000.8V000.9V001.0V001.1V001.3V000.6V000.5V000.6V
2806501210490205021800020V00021V00019V00021V00030V00028V00040V00043V00047V00067V00089V00074V00051V00063V00064V00055V00065V00066V00076V00065V00057V00066V00037V00033V
2806501214060205021800040V00028V00031V00020V00014V00004V00002V00025V00008V00012V00020V00040R00033V00033V00039V00030V00023V00012V00004V00002V00004V00020V00019V00021V
2806501282890205021800052V00056V00047V00119V00023V00033V00061V00073V00072V00069V00085V00086V00192V00238V00254V00253V00282V00270V00270V00287V00097V00066V00062V00048V
28065012818902050218004.3V002.7V002.8V002.7V003.1V002.3V002.8V003.0V003.7V002.9V002.2V002.5V002.4V002.2V002.5V002.3V002.5V002.6V002.3V002.0V003.3V004.9V003.9V003.5V
28065012838902050218002.7V002.1V001.5V001.1V001.0V000.8V000.9V000.8V001.6V003.4V006.4V008.3V009.7V010.9V011.4V012.1V011.8V010.1V008.9V008.2V007.3V006.3V004.8V004.4V
2806501286890205021800053V00055V00057V00058V00058V00060V00058V00058V00057V00052V00042V00034V00031V00028V00025V00025V00027V00030V00031V00033V00043V00050V00054V00055V
2806501287890205021800928V00928V00928V00928V00928V00928V00928V00929V00929V00929V00929V00929V00928V00927V00927V00926V00926V00927V00927V00927V00928V00929V00929V00930V
2806501288890205021800004V00004V00004V00004V00004V00004V00004V00004V00150V00282V00385V00454V00461V00420V00345V00226V00104V00007V00004V00004V00004V00004V00004V00004V
28065012898902050218000.6V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.8V002.4V000.0V000.0V
28065012305902050218000.8V000.2V000.2V000.2V000.2V001.1V002.6V001.6V001.4V000.7V000.6V000.5V000.2V000.4V000.3V000.4V000.6V000.4V000.5V000.8V001.2V000.6V000.8V001.2V
28065012205902050218000.6V000.8V001.5V001.2V001.5V005.3V005.3V006.3V004.5V002.9V003.0V002.5V001.7V003.0V002.7V002.8V003.2V002.0V002.4V004.0V006.7V003.9V001.7V002.7V
28065012315902050218042.0V025.2V019.3V003.1V003.9V013.8V071.9V031.7V007.5V003.3V011.9V005.3V003.4V001.9V003.4V003.9V002.5V001.1V001.3V002.1V004.1V049.0V063.8V083.5V
2807400701380205021800003V00003V00003V00003V00005V00012V00016V00012V00015V00014V00017V00013V00011V00010V00014V00014V00010V00008V00011V00010V00008V00004V00004V00004V
2807400707080205021800001V00001V00008V00015V00071V00211V00311V00174V00178V00118V00079V00041V00032V00028V00031V00033V00026V00042V00100V00088V00053V00006V00005V00007V
2807400708080205021800010V00016V00038V00049V00067V00113V00140V00117V00115V00100V00092V00074V00068V00063V00078V00090V00085V00094V00125V00119V00094V00047V00043V00044V
28074007064802050218000.6V000.6V000.7V000.7V001.1V002.1V003.3V002.5V001.6V001.2V001.3V001.0V000.8V000.9V000.9V001.0V000.9V001.0V001.4V001.3V001.1V000.7V000.7V000.6V
2807400710490205021800017V00017V00015V00024V00024V00038V00090V00159V00087V00076V00071V00062V00047V00048V00047V00049V00051V00047V00055V00052V00081V00051V00029V00023V
2807400714060205021800052V00044V00021V00011V00004V00005V00005V00004V00006V00013V00022V00038V00044V00049V00043V00034V00031V00018V00004V00004V00010V00030V00028V00028V
2807400782890205021800051V00069V00130V00227V00240V00253V00124V00068V00063V00068V00102V00096V00086V00108V00186V00254V00248V00293V00260V00271V00103V00057V00069V00056V
28074007818902050218002.8V002.2V001.6V001.1V000.8V000.8V001.0V001.4V002.0V001.8V001.6V001.7V001.8V001.7V001.7V002.1V001.8V001.6V001.4V001.6V002.5V003.1V002.7V002.4V
28074007838902050218-00.3V-00.9V-01.7V-02.9V-03.5V-03.5V-03.4V-01.9V-00.7V001.2V003.3V005.2V006.5V007.8V008.8V009.1V009.1V007.5V006.1V005.4V004.1V003.5V002.2V001.8V
2807400786890205021800052V00054V00057V00063V00067V00067V00066V00057V00054V00048V00041V00032V00028V00024V00023V00024V00024V00026V00029V00033V00044V00047V00051V00053V
2807400787890205021800926V00927V00927V00927V00926V00926V00926V00927V00927V00927V00927V00927V00926V00925V00925V00924V00924V00925V00925V00926V00927V00927V00927V00928V
2807400788890205021800004V00004V00004V00004V00004V00004V00004V00044V00191V00333V00448V00511V00520V00487V00382V00251V00118V00009V00004V00004V00004V00004V00004V00004V
28074007898902050218000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500201380205021800007V00007V00006V00006V00007V00010V00012V00024V00043V00035V00022V00009V00007V00006V00006V00005V00005V00008V00014V00013V00015V00012V00007V00011V
2800500207080205021800004V00003V00005V00004V00005V00056V00110V00065V00138V00096V00043V00019V00011V00011V00008V00007V00015V00030V00108V00044V00023V00013V00007V00011V
2800500208080205021800019V00014V00018V00020V00031V00054V00071V00065V00078V00068V00048V00031V00020V00017V00014V00016V00034V00068V00108V00066V00057V00036V00022V00039V
28005002064802050218000.7V000.7V000.7V000.7V000.8V001.4V001.7V001.2V001.3V001.1V000.9V000.8V000.7V000.6V000.6V000.7V000.8V001.0V001.6V001.1V000.9V000.8V000.7V000.7V
2800500210490205021800023V00022V00021V00026V00020V00022V00040V00056V00073V00091V00075V00047V00037V00030V00031V00032V00026V00033V00040V00051V00055V00036V00029V00025V
2800500214060205021800037V00040V00038V00033V00019V00007V00002V00004V00006V00011V00028V00053V00062V00069V00073V00074V00061V00028V00002V00018V00018V00031V00039V00020V
2800500282890205021800096V00096V00097V00118V00119V00204V00147V00096V00073V00096V00125V00187V00248V00203V00176V00231V00294V00304V00183V00079V00078V00085V00091V00089V
28005002818902050218002.8V003.1V002.5V001.8V002.0V002.2V001.3V003.3V003.0V002.8V002.2V002.3V002.5V002.5V002.2V003.2V003.2V002.7V001.3V004.5V005.1V004.5V003.3V002.4V
28005002838902050218-00.5V-01.3V-01.8V-02.4V-03.0V-03.9V-04.9V-03.7V-02.4V000.2V003.2V006.3V007.7V009.4V010.4V010.4V010.2V008.7V007.0V005.6V004.2V003.0V002.1V001.4V
2800500286890205021800054V00057V00059V00061V00064V00068V00072V00067V00062V00054V00041V00029V00025V00021V00018V00018V00018V00022V00026V00035V00045V00049V00054V00058V
2800500287890205021800957V00957V00957V00957V00957V00957V00958V00958V00958V00958V00958V00957V00957V00956V00955V00955V00955V00955V00956V00957V00957V00958V00958V00958V
2800500288890205021800004V00004V00004V00004V00004V00004V00004V00032V00162V00297V00405V00466V00476V00436V00350V00230V00099V00006V00004V00004V00004V00004V00004V00004V
28005002898902050218000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500214080205021800035V00039V00036V00032V00018V00010V00001V00003V00004V00009V00025V00049V00059V00065V00070V00071V00057V00027V00001V00016V00016V00029V00037V00019V
2800600401380205021800006V00007V00007V00006V00007V00009V00015V00014V00011V00011V00010V00009V00008V00008V00008V00010V00009V00009V00009V00018V00013V00009V00007V00007V
2800600407080205021800004V00003V00003V00007V00016V00036V00100V00091V00034V00030V00022V00018V00013V00009V00007V00012V00010V00008V00022V00062V00008V00005V00005V00005V
2800600408080205021800023V00025V00025V00027V00052V00067V00087V00083V00065V00060V00055V00056V00050V00041V00035V00058V00070V00074V00097V00095V00056V00038V00038V00036V
28006004064802050218000.7V000.7V000.6V000.6V000.8V000.8V001.5V001.9V001.3V001.0V000.9V000.9V000.9V000.9V000.9V000.9V000.9V000.9V000.9V001.2V000.9V000.8V000.7V000.7V
2800600410490205021800014V00002V00002V00007V00009V00010V00032V00044V00036V00039V00031V00037V00026V00024V00010V00015V00012V00026V00025V00033V00041V00024V00015V00014V
2800600414060205021800050V00047V00046V00046V00013V00008V00005V00009V00021V00031V00037V00048V00056V00070V00074V00056V00043V00035V00015V00017V00033V00048V00043V00044V
2800600482890205021800107V00107V00073V00246V00230V00155V00085V00073V00079V00074V00247V00224V00169V00271V00226V00141V00191V00262V00282V00062V00057V00079V00078V00119V
28006004818902050218002.6V002.0V001.9V001.6V001.1V000.9V001.8V001.7V001.9V001.9V001.6V001.9V002.1V002.2V002.3V002.2V001.8V001.9V002.0V002.7V003.6V004.3V002.9V002.4V
28006004838902050218-03.1V-03.4V-04.1V-04.5V-05.6V-05.9V-05.7V-05.1V-03.2V-01.0V001.6V004.0V005.8V007.0V007.9V008.6V008.6V007.4V005.4V004.1V002.3V000.9V000.2V-00.5V
2800600486890205021800059V00058V00060V00061V00064V00065V00065V00063V00058V00055V00050V00037V00026V00018V00016V00016V00016V00016V00026V00044V00052V00054V00057V00058V
2800600487890205021800942V00942V00942V00942V00942V00942V00942V00942V00943V00943V00943V00943V00942V00941V00941V00940V00940V00941V00941V00942V00943V00943V00943V00944V
2800600488890205021800004V00004V00004V00004V00004V00004V00004V00044V00197V00347V00472V00553V00572V00549V00458V00321V00154V00021V00004V00004V00004V00004V00004V00004V
28006004898902050218000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28006004305902050218001.1V001.0V001.0V001.0V001.0V001.2V001.9V002.3V003.0V001.8V001.4V001.4V001.1V001.0V000.9V001.1V001.1V001.1V001.4V001.9V001.3V001.1V001.0V001.1V
28006004205902050218001.6V001.6V002.4V001.7V006.3V011.4V012.4V010.9V012.1V006.6V003.6V004.8V003.7V002.8V001.6V002.7V003.2V003.4V003.8V011.3V005.1V002.3V001.7V002.1V
28006004315902050218000.6V000.6V000.7V000.6V001.7V003.9V006.5V007.7V007.6V003.5V001.7V001.9V001.5V001.3V000.7V001.1V001.4V002.1V002.2V009.3V003.7V001.2V000.8V001.0V
2800600442020205021807.01V06.97V07.08V06.99V07.80V08.43V08.51V08.62V08.45V06.56V05.97V05.48V05.06V04.83V04.66V04.66V04.71V04.78V05.03V05.54V04.52V04.41V05.06V05.84V
2800600444020205021801.51V01.53V01.70V01.74V02.51V03.16V03.01V02.98V02.66V01.21V01.03V00.77V00.51V00.32V00.27V00.29V00.37V00.51V00.84V01.31V00.36V00.17V00.58V01.13V
2805800401380205021800006V00007V00007V00006V00007V00008V00012V00014V00011V00015V00017V00012V00011V00012V00013V00016V00010V00009V00010V00013V00015V00009V00007V00007V
2805800407080205021800002V00001V00002V00002V00006V00028V00088V00118V00050V00086V00100V00041V00029V00025V00024V00024V00011V00008V00021V00016V00045V00025V00009V00012V
2805800408080205021800024V00031V00033V00034V00046V00059V00082V00089V00067V00082V00093V00069V00063V00065V00067V00075V00060V00064V00089V00079V00094V00070V00052V00052V
28058004064802050218000.3V000.3V000.3V000.3V000.4V000.6V001.2V000.9V000.7V000.8V000.8V000.6V000.5V000.5V000.5V000.6V000.4V000.4V000.6V000.6V000.8V000.6V000.4V000.4V
2805800410490205021800017V00013V00016V00013V00015V00020V00026V00045V00052V00044V00077V00084V00048V00051V00044V00042V00048V00040V00035V00041V00038V00051V00032V00026V
2805800414060205021800044V00033V00031V00027V00014V00005V00001V00001R00014V00012V00013V00032V00039V00043V00044V00035V00042V00032V00010V00014V00001V00010V00020V00018V
2805800482890205021800080V00113V00068V00069V00062V00073V00097V00093V00102V00112V00085V00131V00130V00221V00107V00186V00276V00282V00259V00276V00152V00090V00090V00085V
28058004818902050218003.7V002.8V002.7V002.5V002.2V002.0V002.1V003.0V003.1V002.8V002.2V002.4V002.4V001.9V002.4V002.5V002.5V002.4V001.6V002.1V002.2V004.0V003.8V003.4V
28058004838902050218000.4V-00.2V-00.6V-01.0V-01.3V-01.4V-01.5V-01.1V-00.0V001.4V004.0V005.5V006.9V008.3V008.8V009.2V008.9V007.8V007.0V006.1V005.1V004.1V002.8V002.1V
2805800486890205021800052V00055V00056V00058V00061V00061V00060V00057V00052V00049V00041V00033V00028V00024V00022V00023V00024V00025V00025V00030V00038V00046V00051V00055V
2805800487890205021800922V00922V00922V00922V00922V00922V00922V00922V00922V00923V00923V00923V00922V00921V00921V00920V00920V00921V00921V00921V00922V00923V00923V00923V
2805800488890205021800004V00004V00004V00004V00004V00004V00004V00043V00174V00290V00384V00449V00468V00435V00351V00237V00120V00012V00004V00004V00004V00004V00004V00004V
28058004898902050218000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805800414080205021800045V00035V00033V00030V00017V00008V00001V00002R00015V00011V00012V00031V00039V00043V00043V00035V00043V00034V00013V00017V00002V00013V00023V00021V
28058004305902050218000.5V000.5V000.6V000.6V000.9V001.1V002.6V003.0V001.7V002.1V002.1V001.5V001.1V001.1V001.1V001.1V001.0V000.8V001.1V001.8V001.5V002.2V000.9V000.8V
28058004205902050218000.9V002.3V003.8V003.0V003.6V004.2V009.0V010.5V004.5V006.5V009.3V009.4V006.1V004.9V005.3V005.6V003.7V001.9V007.6V019.9V009.7V009.6V003.9V003.7V
28058004315902050218000.4V000.7V000.8V000.7V001.1V001.6V004.8V013.0V004.6V004.4V006.7V005.7V004.3V002.5V002.2V002.0V001.4V000.6V003.6V013.8V006.8V005.2V002.1V001.7V
2805800442020205021810.32V10.65V10.70V10.63V10.78V11.02V11.49V11.37V10.63V11.14V10.99V10.00V09.52V09.37V09.40V09.51V09.53V10.21V10.90V10.99V11.19V10.63V10.36V10.57V
2805800444020205021800.45V00.35V00.47V00.42V00.50V00.61V01.03V00.86V00.90V01.10V01.42V01.45V01.73V01.88V01.83V01.73V01.22V00.50V00.77V00.74V00.86V00.76V00.57V00.47V
2809200501380205021800006V00004V00005V00004V00010V00013V00015V00016V00018V00020V00014V00013V00014V00007V00006V00004V00004V00003V00006V00008R00008V00011V00005V00005V
2809200507080205021800007V00006V00013V00019V00024V00074V00119V00111V00119V00114V00063V00054V00046V00037V00026V00013V00007V00006V00017V00061R00044V00035V00015V00024V
2809200508080205021800012V00011V00020V00025V00027V00034V00042V00045V00048V00049V00039V00038V00036V00033V00026V00015V00010V00011V00030V00051R00046V00040V00024V00031V
28092005064802050218000.5V000.5V000.5V000.6V000.6V000.9V001.5V001.4V001.3V001.2V000.9V000.9V000.8V000.7V000.6V000.5V000.5V000.4V000.6V000.9R000.8V000.6V000.5V000.6V
2809200510490205021800009V00011V00019V00028V00018V00018V00024V00039V00034V00062V00056V00038V00043V00045V00039V00028V00023V00019V00004V00025V00043V00028V00034V00019V
2809200514060205021800041V00043V00019V00010V00010V00006V00004V00005V00009V00013V00024V00030V00036V00044V00054V00066V00071V00069V00034V*****N00006V00014V00031V00017V
2809200582890205021800046V00056V00270V00265V00252V00180V00209V00051V00096V00254V00271V00230V00220V00214V00265V00242V00236V00226V00174V00271V00226V00045V00034V00243V
28092005818902050218003.2V002.4V001.6V001.0V001.6V001.4V000.9V002.2V002.1V002.1V002.0V002.5V002.8V002.2V002.5V002.6V002.8V001.5V001.6V001.6V002.2V003.9V004.0V002.5V
28092005838902050218000.6V-00.1V-01.9V-02.3V-01.9V-02.8V-02.7V-01.5V000.4V001.8V003.9V004.9V006.3V007.8V009.0V009.2V009.2V008.1V006.9V005.4V004.2V004.3V003.0V001.6V
2809200586890205021800047V00048V00058V00061V00058V00062V00062V00054V00049V00046V00038V00035V00030V00025V00022V00021V00019V00019V00022V00031V00042V00042V00045V00051V
2809200587890205021800924V00924V00924V00924V00924V00924V00924V00924V00924V00925V00925V00925V00925V00924V00923V00923V00923V00923V00923V00924V00925V00925V00925V00926V
2809200588890205021800004V00004V00004V00004V00004V00004V00004V00052V00222V00375V00521V00593V00625V00596V00503V00365V00196V00032V00004V00004V00004V00004V00004V00004V
28092005898902050218000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2814800401380205021800005V00005V00006V00006V00006V00007V00009V00016V00020V00011V00008V00006V00006V00006V00006V00006V00007V00008V00010V00010V00007V00006V00007V00007V
2814800407080205021800004V00004V00004V00004V00005V00009R00031V00078V00100V00034V00012V00010V00008V00009V00008V00008V00007V00015V00065V00046V00008V00005V00006V00004V
2814800408080205021800010V00008V00007V00002V00003V00022R00041V00055V00063V00027V00005V00002V00002V00003V00003V00008V00014V00055V00090V00061V00034V00024V00037V00019V
28148004064802050218000.3V000.3V000.3V000.3V000.3V000.4R000.8V000.9V000.8V000.4V000.3V000.3V000.3V000.3V000.3V000.3V000.3V000.5V000.8V000.6V000.3V000.3V000.3V000.3V
2814800410490205021800016V00018V00023V00017V00017V00012V00016V00030V00054V00070V00036V00030V00025V00026V00024V00022V00031V00037V00063V00083V00052V00035V00022V00028V
2814800414060205021800050V00049V00048V00056V00048V00030R00013V00014V00019V00041V00065V00077V00083V00084V00087V00080V00076V00039V00012V00021V00032V00036V00023V00039V
2814800482890205021800112V00073V00017V00030V00010V00022V00057V00050V00029V00023V00096V00177V00185V00240V00147V00259V00277V00281V00237V00024V00030V00034V00028V00035V
28148004818902050218003.0V002.4V002.4V002.6V002.3V002.6V001.6V002.3V002.4V003.0V002.7V003.1V002.6V002.5V002.5V002.4V002.6V002.1V001.2V003.8V004.4V004.2V002.8V003.0V
28148004838902050218-01.2V-01.9V-02.7V-03.0V-03.9V-04.3V-04.6V-04.3V-02.4V-00.6V002.2V004.5V006.6V008.2V009.0V009.8V009.3V008.1V006.4V005.0V003.6V002.2V001.3V000.6V
2814800486890205021800054V00057V00059V00060V00063V00063V00065V00064V00058V00053V00043V00035V00030V00027V00025V00023V00021V00023V00026V00035V00046V00049V00053V00056V
2814800487890205021800933V00933V00933V00932V00933V00933V00933V00933V00933V00933V00933V00933V00932V00931V00931V00930V00930V00931V00931V00932V00933V00933V00933V00934V
2814800488890205021800004V00004V00004V00004V00004V00004V00004V00028V00169V00331V00464V00553V00586V00560V00474V00343V00178V00023V00004V00004V00004V00004V00004V00004V
28148004898902050218000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28148004305902050218000.2V000.2V000.2V000.3V000.2V000.3V000.3V000.6V000.6V000.3V000.3V000.3V000.3V000.2V000.2V000.2V000.2V000.3V000.6V000.6V000.3V000.2V000.2V000.3V
28148004205902050218000.4V000.4V000.4V000.5V000.4V000.3V000.7V001.2V002.7V002.0V000.4V000.2V000.2V000.2V000.2V000.3V000.4V001.7V001.2V002.2V000.9V000.4V000.6V001.4V
28148004315902050218001.3V001.3V000.9V000.8V000.9V000.9V001.9V005.3V008.0V003.7V001.7V001.1V000.7V001.0V000.9V001.4V002.7V013.7V005.8V009.4V002.5V001.4V001.5V001.6V
2814800442020205021806.45V06.61V06.66V06.73V06.65V06.73R06.76V07.42V07.36V06.89V06.45V06.32V06.22V06.16V06.16V06.24V06.30V06.75V07.12V06.89V06.60V06.57V06.76V06.88V
2814800444020205021800.83V00.86V00.85V00.86V00.80V00.85R01.16V01.51V01.36V01.03V00.75V00.72V00.69V00.69V00.70V00.76V00.81V01.19V01.37V01.18V00.91V00.87V00.91V00.97V
2800700101380205021800005V00005V00003V00002V00003V00008V00010V00013V*****N*****N00021V00018V00018V00017V00016V00013V00010V00013V00016V00016R00016V00020V00012V00010V
2800700107080205021800009V00007V00007V00013V00037V00138V00146V00143V*****N*****N00086V00053V00063V00052V00053V00060V00041V00036V00056V00125R00123V00055V00024V00031V
2800700108080205021800030V00030V00042V00047V00060V00096V00088V00096V*****N*****N00086V00076V00082V00082V00083V00089V00076V00077V00101V00113R00112V00074V00055V00064V
28007001064802050218000.7V000.6V000.7V000.7V001.0V001.8V002.3V002.2V*****N*****N001.2V001.0V001.0V001.0V001.0V001.2V000.9V000.9V001.1V001.5R001.5V001.0V000.6V000.9V
2800700110490205021800018V00020V00021V00023V00022V00027V00042V00047V00057V00077V00067V00051V00039V00054V00047V00047V00046V00037V00026V00040V00055V00057V00037V00030V
2800700114060205021800054V00052V00030V00024V00013V00008V00008V00010V*****N*****N00025V00041V00038V00039V00040V00040V00042V00041V00020V00010R00011V00023V00037R00026V
2800700182890205021800170V00191V00311V00310V00292V00288V00243V00158V00197V00215V00309V00181V00281V00215V00311V00310V00293V00304V00224V00311V00293V00180V00164V00259V
28007001818902050218001.8V001.7V001.9V001.8V001.6V001.5V001.0V001.5V001.6V002.1V002.2V002.1V002.3V002.2V002.3V002.4V002.0V001.8V001.2V002.2V002.0V001.8V001.9V001.8V
28007001838902050218000.3V-00.3V-01.5V-02.2V-02.7V-02.5V-02.3V-01.6V000.9V001.8V003.8V005.9V007.2V008.3V009.1V009.3V009.4V007.6V007.1V005.9V004.2V004.0V002.9V002.1V
2800700186890205021800052V00052V00058V00063V00063V00062V00061V00058V00049V00047V00040V00030V00029V00027V00024V00023V00022V00024V00027V00036V00047V00046V00050V00053V
2800700187890205021800919V00919V00919V00919V00919V00919V00919V00919V00919V00920V00920V00920V00919V00919V00918V00918V00918V00918V00918V00919V00920V00920V00920V00921V
2800700188890205021800004V00004V00004V00004V00004V00004V00004V00005V00141V00267V00382V00460V00487V00471V00407V00304V00129V00004V00004V00004V00004V00004V00004V00004V
28007001898902050218000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.3V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804900101380205021800007V00005V00007V00004V00006V00008V00010V00013V00013V00011V00009V00009V00009V00008V00007V00007V00007V00008V00023V00022V00007V00007V00008V00007V
2804900107080205021800014V00002V00004V00002V00004V00043V00071V00108V00085V00056V00027V00018V00010V00006V00003V00004V00002V00020V00301V00217V00013V00003V00005V00003V
2804900108080205021800050V00029V00042V00035V00051V00061V00069V00071V00063V00057V00050V00049V00045V00042V00032V00035V00042V00073V00133V00109V00062V00049V00059V00053V
28049001064802050218000.6V000.5V000.6V000.6V000.5V000.8V001.6V001.8V001.4V001.4V001.1V000.8V000.8V000.7V000.6V000.7V000.8V000.9V003.3V002.4V000.9V000.8V000.8V000.8V
2804900110490205021800015V00024V00038V00026V00038V00022V00028V00032V00052V00042V00040V00027V00028V00028V00025V00021V00020V00028V00040V00084V00065V00028V00026V00027V
2804900114060205021800018V00039V00024V00031V00018V00007V00008V00012V00012V00019V00029V00037V00047V00057V00067V00069V00063V00029V00012V00014V00020V00027V00017V00019V
2804900182890205021800034V00069V00063V00208V00024V00177V00107V00040V00039V00118V00106V00243V00167V00309V00320V00259V00326V00243V00276V00191V00067V00079V00079V00057V
28049001818902050218002.5V002.3V002.2V002.5V001.5V001.6V001.4V001.9V002.8V002.6V002.2V002.0V002.6V002.1V002.5V002.2V002.3V001.8V001.2V002.2V003.2V003.2V003.1V002.3V
