28  
Consejería de Medio Ambiente Comunidad de Madrid.                               
Princesa,3 planta 9                                                             
28001 Madrid                                                                    
0271
28065012Getafe (nº 1)                                                         16
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
2806501286890205031300074V00076V00078V00077V00075V00074V00073V00071V00066V00065V00058V00052V00047V00040V00040V00047V00052V00053V00060V00064V00064V00070V00072V00076V
2806501287890205031300919V00919V00919V00919V00919V00919V00919V00920V00920V00921V00921V00921V00920V00920V00919V00919V00919V00920V00920V00921V00921V00921V00921V00921V
2806501288890205031300004V00004V00004V00004V00004V00004V00004V00046V00142V00238V00426V00523V00536V00509V00370V00164V00096V00039V00004V00004V00004V00004V00004V00004V
28065012898902050313000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28065012305902050313000.9V000.7V002.0V001.3V000.8V000.4V001.0V000.3V000.5V000.4V000.3V000.3V000.3V000.2V000.2V000.1V000.1V000.1V000.2V000.3V000.3V000.4V000.3V000.2V
28065012205902050313004.7V003.9V009.8V008.9V005.8V004.3V005.1V006.7V005.8V003.3V002.4V001.8V001.6V001.1V000.6V000.6V000.4V000.6V000.6V002.1V001.7V001.8V001.7V000.7V
28065012315902050313003.2V002.6V009.6V007.7V003.9V016.8V040.8V009.3V013.3V002.4V008.0V001.0V000.9V000.8V000.8V000.8V000.8V000.8V000.8V000.9V000.9V001.0V001.1V000.8V
2807400701380205031300004V00003V00006V00006V00006V00007V00007V00007V00008V00009V00009V00009V00007V00005V00003V00003V00003V00002V00002V00003V00003V00002V00002V00001V
2807400707080205031300065V00067V00125V00110V00082V00119V00124V00105V00040V00030V00011V00009V00006V00004V00001V00002V00003V00003V00014V00028V00018V00012V00011V00009V
2807400708080205031300075V00070V00094V00092V00084V00086V00079V00081V00064V00056V00033V00034V00035V00033V00015V00017V00017V00019V00058V00076V00063V00054V00055V00046V
28074007064802050313001.1V001.1V001.4V001.3V001.1V001.4V001.3V001.3V000.9V001.0V000.8V000.7V000.7V000.6V000.6V000.5V000.6V000.5V000.7V000.9V000.8V000.7V000.7V000.7V
2807400710490205031300084V00082V00077V00081V00070V00077V00082V00093V00085V00078V00096V00087V00081V00083V00065V00053V00067V00069V00049V00055V00056V00038V00033V00032V
2807400714060205031300002V00002V00002V00002V00002V00002V00002V00003V00010V00019V00040V00055V00071V00089V00098V00087V00066V00062V00027V00010V00018V00021V00018V00018V
2807400782890205031300272V00165V00046V00117V00044V00253V00177V00081V00062V00052V00052V00158V00265V00242V00231V00232V00249V00242V00226V00226V00242V00241V00226V00141V
28074007818902050313000.8V000.6V000.9V001.1V000.9V000.8V000.8V001.0V001.5V001.6V001.6V001.8V002.2V002.5V002.7V003.3V003.2V003.3V002.1V001.8V001.9V002.3V002.2V001.6V
28074007838902050313007.6V006.7V007.0V007.3V007.2V006.6V006.3V007.0V008.4V010.2V012.3V014.1V015.6V016.8V017.5V016.3V016.3V014.8V013.6V013.0V012.0V011.3V011.1V009.8V
2807400786890205031300081V00083V00080V00075V00073V00076V00076V00073V00064V00060V00057V00051V00044V00038V00037V00044V00048V00051V00057V00063V00062V00067V00069V00074V
2807400787890205031300917V00917V00917V00917V00917V00917V00918V00918V00919V00919V00919V00919V00918V00918V00917V00917V00917V00918V00919V00919V00919V00919V00919V00920V
2807400788890205031300004V00004V00004V00004V00004V00004V00004V00055V00162V00278V00481V00537V00599V00565V00493V00142V00174V00029V00004V00004V00004V00004V00004V00004V
28074007898902050313000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500201380205031300009V00014V00017V00019V00023V00018V00019V00021V00025V00026V00027V00021V00015V00012V00008V00007V00006V00008V00007V00007V00009V00011V00010V00010V
2800500207080205031300035V00083V00028V00011V00014V00010V00010V00017V00018V00022V00016V00009V00006V00005V00003V00004V00004V00002V00002V00005V00014V00019V00004V00002V
2800500208080205031300046V00062V00052V00047V00044V00042V00039V00037V00030V00028V00024V00017V00011V00011V00008V00011V00018V00008V00008V00023V00045V00048V00031V00025V
28005002064802050313001.3V001.7V001.0V001.0V000.9V001.0V001.2V000.9V001.0V001.1V001.1V001.2V001.0V001.1V001.0V001.0V001.1V000.9V000.9V001.0V001.3V001.3V001.0V000.9V
2800500210490205031300064V00083V00111V00092V00093V00098V00073V00072V00080V00084V00088V00093V00085V00088V00083V00057V00047V00057V00068V00037V00039V00041V00050V00045V
2800500214060205031300011V00001V00001V00007V00001V00004V00005V00007V00014V00020V00030V00046V00065V00075V00095V00101V00095V00064V00065V00051V00025V00020V00030V00030V
2800500282890205031300158V00145V00107V00107V00112V00107V00096V00107V00103V00092V00174V00181V00283V00287V00304V00287V00261V00226V00225V00277V00153V00180V00180V00180V
28005002818902050313001.3V001.2V002.2V002.7V002.9V002.6V002.7V002.4V003.2V003.0V001.7V002.0V003.5V004.0V003.4V003.6V003.5V005.3V004.2V002.3V001.9V001.8V002.2V001.9V
28005002838902050313008.9V007.8V007.0V006.7V006.4V005.8V005.4V005.6V006.4V008.9V012.7V015.4V016.3V017.1V017.9V017.9V017.8V015.1V014.4V013.4V012.3V011.5V011.1V010.7V
2800500286890205031300075V00078V00070V00066V00069V00066V00067V00068V00064V00063V00059V00052V00047V00041V00032V00030V00030V00052V00050V00054V00062V00067V00069V00072V
2800500287890205031300948V00948V00948V00947V00947V00948V00948V00949V00949V00949V00949V00949V00948V00948V00947V00947V00947V00948V00948V00949V00949V00950V00950V00950V
2800500288890205031300004V00004V00004V00004V00004V00004V00004V00026V00158V00333V00456V00557V00558V00537V00452V00292V00125V00025V00004V00004V00004V00004V00004V00004V
28005002898902050313000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500214080205031300011V00001V00001V00008V00002V00004V00005V00007V00014V00020V00029V00045V00063V00074V00094V00099V00094V00063V00064V00050V00025V00020V00029V00029V
2800600401380205031300004V00003V00003V00003V00003V00003V00003V00003V00003V00004V00005V00005V00004V00004V00007V00004V00003V00003V00003V00003V00003V00003V00004V00003V
2800600407080205031300069V00046V00050V00041V00009V00010V00010V00009V00009V00007V00008V00007V00005V00007V00007V00003V00003V00003V00003V00008V00011V00026V00057V00027V
2800600408080205031300093V00086V00084V00076V00057V00064V00061V00055V00047V00038V00037V00039V00039V00048V00058V00047V00032V00028V00044V00080V00086V00092V00093V00082V
28006004064802050313000.9V000.8V000.8V000.8V000.6V000.5V000.7V000.8V000.7V000.6V000.7V000.7V000.6V000.7V000.9V000.8V000.7V000.6V000.4V000.3V000.4V000.5V000.6V000.5V
2800600410490205031300077V00083V00086V00069V00061V00052V00040V00039V00044V00040V00052V00069V00069V00058V00055V00055V00053V00059V00056V00046V00039V00044V00048V00052V
2800600414060205031300007V00005V00005V00005V00021V00009V00012V00024V00037V00044V00045V00057V00073V00079V00083V00098V00095V00074V00048V00014V00008V00004V00004V00007V
2800600482890205031300186V00108V00171V00118V00084V00136V00125V00094V00056V00119V00141V00146V00181V00230V00203V00220V00249V00238V00238V00247V00271V00298V00202V00288V
28006004818902050313001.0V001.2V001.0V001.2V001.7V001.3V001.3V001.3V002.0V001.9V002.2V002.3V002.5V002.8V003.0V003.4V004.8V004.8V003.6V002.8V002.1V001.4V001.2V001.5V
28006004838902050313006.4V006.2V004.7V005.3V005.8V005.1V005.0V005.8V006.8V008.7V011.0V013.4V015.1V016.3V016.8V016.7V016.3V014.9V013.3V011.4V010.6V010.1V009.1V008.8V
2800600486890205031300078V00077V00081V00077V00070V00070V00068V00063V00060V00062V00066V00063V00058V00049V00046V00046V00053V00060V00065V00070V00075V00079V00083V00089V
2800600487890205031300933V00934V00933V00933V00933V00933V00934V00934V00935V00935V00935V00935V00935V00934V00934V00933V00933V00934V00935V00935V00935V00936V00936V00936V
2800600488890205031300004V00004V00004V00004V00004V00004V00004V00032V00130V00284V00540V00647V00624V00536V00483V00259V00146V00057V00004V00004V00004V00004V00004V00004V
28006004898902050313000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28006004305902050313001.7V001.6V001.3V001.3V001.2V001.3V001.3V001.2V001.2V001.1V001.1V001.1V001.0V001.0V001.0V001.1V000.9V000.8V000.8V001.0V001.1V001.2V001.4V001.5V
28006004205902050313018.3V017.5V010.9V007.9V005.6V003.3V003.7V003.2V003.1V002.4V002.3V002.0V001.5V001.8V002.0V002.2V001.6V001.3V001.8V002.0V002.3V002.9V004.9V007.3V
28006004315902050313010.9V010.3V006.7V004.8V003.2V001.9V001.8V001.5V001.5V001.2V000.9V000.8V000.7V000.7V000.9V001.0V000.7V000.8V000.9V001.3V001.3V001.7V002.8V003.8V
2800600442020205031307.35V07.44V07.36V07.04V06.78V06.76V06.88V06.69V06.66V06.62V06.47V06.31V06.09V06.10V06.20V06.23V06.13V05.85V05.99V06.17V06.24V06.49V06.97V06.47V
2800600444020205031302.96V03.10V02.94V02.59V02.26V02.26V02.27V02.17V02.13V02.08V01.91V01.75V01.62V01.60V01.63V01.58V01.54V01.50V01.64V01.83V01.92V02.16V02.67V02.20V
2805800401380205031300004V00004V00004V00006V00009V00008R00007V00008V00011V00011V00012V00011V00007V00006V00005V00004V00004V00005V00004V00004V00004V00003V00004V00004V
2805800407080205031300001V00001V00001V00036V00071V00054R00039V00033V00040V00034V00025V00011V00003V00002V00001V00001V00001V00001V00005V00002V00003V00003V00003V00001V
2805800408080205031300044V00044V00044V00078V00092V00089R00079V00074V00073V00068V00062V00052V00038V00033V00028V00026V00025V00031V00050V00046V00045V00044V00044V00037V
28058004064802050313000.3V000.2V000.2V000.7V000.8V000.6R000.5V000.4V000.5V000.4V000.3V000.3V000.2V000.1V000.1V000.1V000.1V000.1V000.1V000.2V000.1V000.1V000.2V000.1V
2805800410490205031300071V00070V00060V00058V00078V00089V00089V00075V00081V00088V00092V00096V00081V00065V00045V00048V00067V00049V00035V00045V00031V00026V00024V00024V
2805800414060205031300036V00043V00043V00010V00001V00001R00002R00005V00009V00015V00030V00053V00087V00093V00101V00086V00073V00066V00038V00044V00040V00032V00028V00035V
2805800482890205031300221V00264V00231V00136V00130V00107V00118V00102V00129V00152V00153V00152V00281V00292V00269V00271V00276V00275V00255V00276V00270V00264V00271V00255V
28058004818902050313001.1V001.4V001.4V001.6V001.7V001.9V001.7V002.2V002.2V001.7V001.8V001.8V002.6V002.8V003.0V003.2V003.0V002.6V002.0V002.3V002.2V002.1V002.3V002.2V
28058004838902050313009.6V009.5V009.8V009.0V008.0V007.8V007.6V007.9V008.7V010.4V012.5V014.9V016.3V017.2V017.2V016.4V015.5V014.8V013.3V012.8V011.8V010.6V009.9V009.4V
2805800486890205031300082V00079V00077V00083V00090V00087V00083V00080V00075V00070V00062V00051V00042V00040V00042V00050V00055V00053V00067V00065V00070V00076V00081V00086V
2805800487890205031300913V00913V00913V00913V00913V00913V00913V00914V00914V00915V00915V00915V00915V00914V00913V00913V00914V00914V00914V00915V00915V00915V00915V00916V
2805800488890205031300004V00004V00004V00004V00004V00004V00005V00042V00126V00218V00322V00533V00537V00495V00283V00168V00066V00035V00004V00004V00004V00004V00004V00004V
28058004898902050313000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805800414080205031300034V00040V00041V00010V00001V00001R00001R00005V00008V00014V00027V00047V00081V00087V00094V00080V00068V00063V00036V00041V00037V00031V00027V00032V
28058004305902050313000.9V000.8V000.6V001.0V002.7V002.1V001.5V001.5V001.3V001.4V001.0V000.8V000.7V000.5V000.4V000.3V000.4V000.3V000.4V000.6V000.5V000.5V000.5V000.6V
28058004205902050313004.6V009.7V008.2V011.3V019.1V016.9V012.4V016.9V014.6V011.5V006.7V004.5V003.2V001.4V000.9V000.9V001.0V007.2V006.5V003.3V002.9V004.7V004.1V005.6V
28058004315902050313001.3V001.7V001.6V003.9V011.2V008.6V006.0V006.0V004.3V004.2V001.9V000.9V000.8V000.2V000.2V000.2V000.3V008.2V007.3V001.3V001.0V001.4V006.2V008.8V
2805800442020205031310.78V10.60V10.66V11.94V21.42V28.48V17.68V15.39V13.73V12.15V10.96V10.12V09.49V09.24V08.97V09.22V09.40V09.99V09.69V09.84V09.89V10.01V10.23V10.56V
2805800444020205031301.76V01.71V01.83V02.62V01.73V00.04V00.94V01.32V01.86V02.04V02.36V02.82V02.99V03.13V03.03V02.50V02.25V02.69V02.20V02.10V02.08V02.01V02.08V02.29V
2809200501380205031300005V00004V00003V00007V00009V00007V00010V00016V00013V00015V00016V00018V00007V00005V00003V00006V00006V00004R00004V00005V00006V00004V00004V00002V
2809200507080205031300027V00026V00032V00065V00070V00064V00077V00107V00058V00033V00029V00021V00016V00006V00003V00002V00003V00005R00010V00009V00008V00006V00008V00007V
2809200508080205031300037V00035V00031V00036V00042V00040V00039V00040V00034V00029V00029V00026V00023V00012V00008V00007V00007V00012R00021V00020V00016V00013V00017V00016V
28092005064802050313000.9V000.9V001.0V001.1V001.2V001.1V001.2V001.4V001.1V001.0V001.0V000.9V000.8V000.6V000.6V000.6V000.6V000.5R000.6V000.6V000.6V000.6V000.6V000.6V
2809200510490205031300063V00064V00073V00071V00084V00079V00086V00075V00082V00077V00092V00092V00089V00072V00059V00059V00064V00061V00044V00049V00034V00030V00026V00027V
2809200514060205031300002V00003V00010V00002V00002V00002V00002V00003V00009V00018V00030V00045V00060V00077V00084V00071V00061V00058R00033V00032V00038V00038V00025V00025V
2809200582890205031300156V00154V00167V00152V00067V00077V00129V00227V00114V00086V00124V00248V00210V00181V00212V00226V00227V00223V00182V00159V00173V00173V00103V00146V
28092005818902050313001.1V001.2V001.8V001.2V002.3V002.0V001.7V001.1V001.6V001.9V001.6V002.4V002.4V003.0V003.9V004.0V004.7V004.5V002.2V002.3V003.0V002.9V002.2V001.7V
28092005838902050313008.7V008.6V008.9V008.1V008.4V008.2V007.7V008.2V009.6V010.7V013.0V015.0V016.4V017.1V016.8V016.1V015.6V014.3V013.4V012.8V011.8V010.9V010.3V009.4V
2809200586890205031300074V00076V00073V00077V00074V00075V00072V00069V00065V00061V00052V00045V00039V00037V00039V00045V00048V00048V00058V00061V00060V00066V00070V00075V
2809200587890205031300916V00915V00915V00915V00915V00915V00916V00916V00917V00917V00917V00917V00917V00916V00916V00916V00916V00916V00917V00917V00917V00918V00918V00918V
2809200588890205031300004V00004V00004V00004V00004V00004V00005V00050V00155V00282V00465V00689V00687V00685V00398V00169V00159V00038V00004V00004V00004V00004V00004V00004V
28092005898902050313000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2814800401380205031300006V00006V00006V00006V00006V00007V00006V00007V00006V00007V00009V00009V00009V00008V00006V00005V00004V00006V00004V00004V00005V00004V00004V00004V
2814800407080205031300008V00025V00016V00006V00004R00005V00005V00013V00014V00014V00008V00006V00005V00004V00004V00004V00003V00002V00003V00008V00008V00005V00003V00006V
2814800408080205031300048V00053V00048V00042V00040R00038V00038V00037V00027V00024V00016V00014V00012V00011V00012V00020V00016V00008V00019V00064V00054V00048V00035V00043V
28148004064802050313000.4V000.5V000.4V000.4V000.3R000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.5V000.4V000.3V000.4V000.6V000.6V000.5V000.4V000.4V
2814800410490205031300085V00079V00078V00082V00075V00076V00075V00065V00069V00063V00074V00080V00088V00082V00071V00069V00069V00067V00078V00051V00061V00055V00048V00047V
2814800414060205031300013V00009V00010V00013V00016R00015V00018V00020V00029V00039V00053V00068V00086V00103V00118V00119V00110V00076V00065V00023V00026V00023V00032V00021V
2814800482890205031300065V00125V00044V00036V00039V00024V00032V00023V00039V00046V00225V00196V00203V00231V00236V00231V00214V00202V00204V00210V00197V00188V00187V00172V
28148004818902050313001.2V001.3V002.1V002.3V002.5V002.5V003.1V002.8V002.7V002.2V001.6V002.3V003.2V003.6V003.4V003.5V005.1V006.3V003.2V001.8V001.9V001.4V001.6V001.2V
28148004838902050313008.1V006.7V006.7V006.4V006.2V005.8V005.5V005.6V007.0V009.5V014.1V015.3V016.4V017.4V017.9V018.1V017.4V014.2V013.1V011.6V010.4V009.8V009.2V008.7V
2814800486890205031300072V00075V00073V00068V00065V00065V00064V00062V00060V00058V00052V00050V00045V00037V00034V00032V00037V00056V00055V00059V00068V00074V00076V00079V
2814800487890205031300923V00924V00923V00923V00923V00924V00924V00925V00925V00925V00925V00925V00924V00924V00923V00923V00923V00924V00924V00925V00925V00925V00926V00926V
2814800488890205031300004V00004V00004V00004V00004V00004V00004V00051V00190V00365V00521V00604V00638V00631V00493V00369V00202V00036V00004V00004V00004V00004V00004V00004V
28148004898902050313000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28148004305902050313000.2V000.3V000.3V000.3V000.2V000.2V000.2V000.1V000.2V000.1V000.2V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.2V000.2V000.2V000.2V000.1V
28148004205902050313000.7V000.9V000.7V001.0V002.0V004.2V003.9V002.8V003.3V000.9V000.3V000.3V000.2V000.1V000.1V000.1V000.1V000.2V000.1V000.2V000.3V000.2V000.2V000.1V
28148004315902050313002.8V003.0V001.7V002.0V001.1V001.1V000.9V001.1V000.9V000.6V000.6V000.3V000.3V000.2V000.2V000.1V000.3V000.3V000.2V000.8V001.7V001.1V000.7V000.3V
2814800442020205031306.58V06.80V07.04V06.86V06.48R06.36V06.18V06.17V06.09V05.88V05.79V05.88V05.87V05.95V06.85V05.98V05.75V05.94V05.91V06.30V06.36V06.43V06.34V06.34V
2814800444020205031301.29V01.26V01.25V01.21V01.21R01.19V01.10V01.09V01.04V00.91V00.89V00.93V00.88V00.87V00.93V00.89V00.86V00.94V00.93V01.27V01.11V01.20V00.95V00.98V
2800700101380205031300015V00015V00013V00012V00010V00011V00011V00011V00014V00016V00015V00012V00011V00009V00007V00008V00008V00008R00008V00010V00011R00009V00008V00008V
2800700107080205031300214V00185V00154V00126V00077V00091V00113V00099V00055V00047V00037V00020V00016V00009V00007V00005V00007V00005R00008V00006V00009R00006V00003V00005V
2800700108080205031300120V00109V00100V00092V00081V00079V00079V00076V00066V00067V00064V00059V00063V00052V00040V00034V00039V00039R00051V00053V00057R00053V00039V00040V
28007001064802050313001.8V001.7V001.3V001.2V001.0V001.2V001.0V001.1V000.9V000.9V000.8V000.7V000.7V000.5V000.4V000.3V000.3V000.4R000.5V000.5V000.5R000.4V000.3V000.4V
2800700110490205031300085V00114V00106V00100V00085V00077V00084V00087V00076V00083V00086V00091V00083V00083V00066V00060V00067V00069V00042V00051V00046V00035V00029V00034V
2800700114060205031300016V00015V00014V00013V00012V00012V00013V00013V00017V00021V00031V00048V00058V00075V00083V00077V00056V00056R00037V00031V00026R00027V00038V00036V
2800700182890205031300229V00218V00326V00205V00136V00311V00228V00313V00243V00174V00181V00270V00271V00203V00304V00253V00270V00237V00198V00147V00192V00175V00147V00130V
28007001818902050313000.9V001.1V001.3V000.8V001.3V001.4V001.2V001.9V001.3V001.6V001.8V002.2V002.0V002.3V002.5V002.6V002.5V002.4V002.1V001.7V001.9V002.0V002.1V001.6V
28007001838902050313008.4V008.6V008.1V007.8V008.1V007.3V007.1V007.1V009.0V010.7V013.0V014.9V016.4V017.4V017.8V016.3V016.1V014.8V013.6V013.1V012.3V011.7V010.8V010.4V
2800700186890205031300074V00073V00075V00077V00071V00073V00074V00073V00065V00060V00055V00048V00043V00038V00039V00046V00051V00051V00058V00063V00062V00067V00071V00074V
2800700187890205031300910V00910V00910V00910V00910V00910V00911V00911V00912V00912V00912V00912V00912V00911V00911V00911V00911V00911V00912V00912V00912V00913V00913V00913V
2800700188890205031300004V00004V00004V00004V00004V00004V00004V00036V00121V00213V00415V00524V00541V00490V00440V00091V00188V00030V00004V00004V00004V00004V00004V00004V
28007001898902050313000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804900101380205031300012V00011V00010V00009V00009V00009V00009V00010V00011V00012V00012V00012V00013V00010V00010V00009V00009V00009V00010V00010V00011V00010V00010V00009V
2804900107080205031300069V00031V00026V00007V00004V00003V00002V00007V00009V00009V00006V00004V00002V00002V00001V00001V00001V00001V00004V00011V00017V00016V00016V00008V
2804900108080205031300078V00070V00065V00056V00048V00049V00042V00048V00047V00043V00038V00039V00038V00037V00038V00040V00033V00032V00056V00076V00077V00072V00070V00064V
28049001064802050313001.1V000.8V000.8V000.8V000.7V000.7V000.8V000.8V000.9V000.9V000.8V000.9V000.8V000.8V000.9V000.9V000.9V000.8V000.8V000.7V000.8V000.9V000.8V000.7V
2804900110490205031300093V00062V00056V00049V00046V00041V00035V00029V00035V00038V00045V00054V00052V00051V00052V00043V00041V00055V00047V00040V00036V00041V00045V00042V
2804900114060205031300006V00006V00010V00009V00013V00013V00022V00019V00023V00028V00036V00051V00067V00084V00092V00099V00087V00059V00032V00013V00013V00010V00010V00012V
2804900182890205031300096V00253V00180V00018V00111V00258V00018V00021V00099V00113V00180V00220V00198V00254V00265V00254V00237V00213V00237V00242V00220V00204V00214V00197V
28049001818902050313001.2V001.2V001.3V001.4V001.4V002.1V001.6V001.9V002.0V001.8V001.9V002.1V002.7V002.9V003.0V002.5V003.5V004.1V002.6V002.0V002.4V002.4V002.3V002.6V
28049001838902050313007.5V006.1V005.9V005.9V005.7V005.4V005.2V005.6V007.0V009.9V012.8V015.0V016.5V017.7V018.1V018.5V017.5V014.4V013.3V012.1V011.8V010.7V010.2V009.7V
2804900186890205031300075V00075V00073V00069V00068V00065V00062V00061V00060V00057V00056V00051V00043V00036V00033V00031V00041V00056V00058V00062V00064V00071V00073V00076V
2804900187890205031300920V00920V00919V00919V00919V00920V00920V00921V00921V00921V00921V00921V00921V00920V00919V00919V00919V00920V00921V00921V00921V00922V00922V00922V
2804900188890205031300004V00004V00004V00004V00004V00004V00004V00061V00176V00344V00498V00588V00630V00622V00470V00336V00182V00040V00004V00004V00004V00004V00004V00004V
28049001898902050313000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805100107080205031300002V00002V00002R00002R00003V00002V00003V00003V00002V00004V00004V00003V00003V00002V00002V00002V00002V00002V00002V00002V00003V00005V00004V00002V
2805100108080205031300019V00023V00020R00023R00026V00020V00021V00024V00022V00028V00027V00025V00019V00013V00008V00007V00007V00006V00007V00014V00022V00039V00036V00018V
28051001104902050313059.0V053.0V064.8V062.8V064.0V056.0V052.3V064.0V062.0V071.0V076.8V075.0V059.0V071.0V068.0V073.0V072.0V049.3V031.3V032.0V032.0V025.0V034.8V029.0V
2805100114060205031300049V00042V00048R00035R00035V00042V00045V00042V00047V00042V00051V00063V00072V00083V00081V00074V00073V00075V00071V00062V00046V00026V00021V00044V
28051001828902050313077.8V253.5V315.0V105.0V335.5V337.5V253.3V247.5V135.8V090.0V124.3V090.8V186.5V174.5V202.3V208.0V219.8V215.5V215.0V243.0V242.0V253.0V226.3V276.3V
28051001818902050313001.3V002.2V001.5V001.1V001.5V002.3V002.0V001.3V001.0V001.7V001.3V001.7V002.5V003.7V004.3V004.3V004.3V003.5V002.5V002.1V001.4V001.4V001.3V002.7V
28051001838902050313007.7V007.4V008.3V008.2V007.8V007.1V007.2V007.7V009.0V009.8V012.1V013.7V015.0V015.5V015.6V015.1V015.1V013.9V013.3V012.6V011.1V010.6V009.4V009.5V
28051001868902050313071.6V073.8V068.7V068.0V068.1V069.8V069.5V069.8V065.1V064.3V056.0V052.0V050.9V051.3V054.4V055.7V054.5V059.3V061.7V063.6V072.1V075.8V082.4V077.9V
2805100187890205031300915V00915V00915V00915V00915V00915V00916V00916V00917V00917V00917V00917V00916V00916V00916V00916V00915V00916V00916V00917V00917V00917V00918V00918V
2805100188890205031300004V00004V00004V00004V00004V00004V00004V00028V00123V00273V00502V00551V00671V00577V00347V00204V00179V00053V00004V00004V00004V00004V00004V00004V
28051001898902050313000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804500207080205031300006R00006V00003V00002V00002V00002V00002V00003V00010V00008V00009V00006V00003V00005V00005V00002V00002V00004V00003V00001V00001V00003V00004V00002V
2804500208080205031300059R00044V00032V00032V00031V00037V00032V00045V00046V00033V00032V00029V00032V00035V00038V00039V00032V00029V00031V00024V00029V00037V00035V00035V
28045002064802050313000.8R000.8V000.8V000.8V000.8V000.8V000.7V000.8V001.0V000.9V000.9V000.9V000.9V001.0V000.9V001.0V000.9V000.9V000.9V000.7V000.8V000.9V000.8V000.8V
28045002104902050313*****N00054R00057V00060V00056V00055V00051V00041V00061V00072V00078V00067V00061V00053V00049V00064V00053V00042V00053V00046V00036V00045V00037V00040V
2804500214060205031300046R00058V00070V00063V00063V00061V00061V00054V00053V00061V00071V00089V00107V00111V00120V00122V00124V00088V00075V00081V00073V00061V00056V00052V
2804500282890205031300146V00052V00049V00169V00050V00035V00270V00193V00048V00135V00113V00118V00151V00158V00174V00184V00192V00190V00196V00214V00221V00179V00172V00191V
28045002818902050313000.9V001.1V001.2V000.7V000.9V000.9V000.8V000.5V001.1V000.8V001.0V001.3V001.8V002.3V002.2V002.3V001.9V002.2V002.0V001.8V001.1V001.4V001.2V000.7V
28045002838902050313007.5V007.8V007.5V007.4V007.2V007.2V006.7V007.4V007.8V009.1V010.3V011.7V013.4V014.3V014.8V014.8V014.7V013.3V011.8V011.1V010.9V010.4V009.4V008.8V
2804500286890205031300063V00062V00067V00065V00062V00062V00061V00055V00064V00066V00058V00052V00041V00040V00036V00037V00039V00058V00063V00064V00064V00069V00080V00083V
2804500287890205031300888V00888V00888V00887V00888V00888V00888V00889V00889V00889V00890V00890V00890V00889V00889V00889V00889V00889V00890V00890V00890V00890V00891V00891V
2804500288890205031300004V00004V00004V00004V00004V00004V00004V00021V00082V00228V00433V00552V00689V00653V00409V00248V00131V00029V00004V00004V00004V00004V00004V00004V
28045002898902050313000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2808000301380205031300010V00010V00009V00009V00010V00009V00010V00010V00011V00011V00012V00012V00013V00011V00009V00009V00010V00011V00009V00010V00010V00009V00009V00009V
2808000307080205031300037V00064V00011V00012V00009V00009V00010V00013V00014V00016V00018V00016V00016V00011V00009V00008V00009V00009V00008V00017V00057V00047V00017V00010V
2808000308080205031300056V00050V00043V00050V00034V00022V00030V00025V00021V00018V00021V00023V00026V00019V00013V00011V00010V00011V00015V00048V00036V00050V00037V00031V
